variable,total_rows,missing_count,missing_pct,missing_pct_when_data_present
solar_radiation_high_wm2,111417,32164,0.28868126048987136,0.06373452414705605
uv_high,111417,32164,0.28868126048987136,0.06373452414705605
winddir_avg_deg,111417,32164,0.28868126048987136,0.06373452414705605
humidity_avg_pct,111417,32164,0.28868126048987136,0.06373452414705605
humidity_high_pct,111417,32164,0.28868126048987136,0.06373452414705605
humidity_low_pct,111417,32164,0.28868126048987136,0.06373452414705605
temp_avg_c,111417,32164,0.28868126048987136,0.06373452414705605
temp_high_c,111417,32164,0.28868126048987136,0.06373452414705605
temp_low_c,111417,32164,0.28868126048987136,0.06373452414705605
windspeed_avg_kmh,111417,32164,0.28868126048987136,0.06373452414705605
windspeed_high_kmh,111417,32164,0.28868126048987136,0.06373452414705605
windspeed_low_kmh,111417,32164,0.28868126048987136,0.06373452414705605
windgust_avg_kmh,111417,32164,0.28868126048987136,0.06373452414705605
windgust_high_kmh,111417,32164,0.28868126048987136,0.06373452414705605
windgust_low_kmh,111417,32164,0.28868126048987136,0.06373452414705605
dewpoint_avg_c,111417,32164,0.28868126048987136,0.06373452414705605
dewpoint_high_c,111417,32164,0.28868126048987136,0.06373452414705605
dewpoint_low_c,111417,32164,0.28868126048987136,0.06373452414705605
windchill_avg_c,111417,32164,0.28868126048987136,0.06373452414705605
windchill_high_c,111417,32164,0.28868126048987136,0.06373452414705605
windchill_low_c,111417,32164,0.28868126048987136,0.06373452414705605
heatindex_avg_c,111417,32164,0.28868126048987136,0.06373452414705605
heatindex_high_c,111417,32164,0.28868126048987136,0.06373452414705605
heatindex_low_c,111417,32164,0.28868126048987136,0.06373452414705605
pressure_max_hpa,111417,26876,0.24121992155595645,0.001264058217559777
pressure_min_hpa,111417,26876,0.24121992155595645,0.001264058217559777
pressure_trend_hpa,111417,26929,0.24169561198021847,0.0018901805122389188
precip_rate_mmh,111417,28549,0.256235583438793,0.021028258198657973
precip_total_mm,111417,28549,0.256235583438793,0.021028258198657973
