window_id,outage_class,window_start_utc,window_end_utc,backfill_start_utc,backfill_end_utc,station_count,n_events,station_ids,median_duration_hours,max_duration_hours,total_duration_hours
NW_20251122T22,network_midnight,2025-11-22 22:00:00+00:00,2025-11-22 23:00:00+00:00,2025-11-22 21:00:00+00:00,2025-11-23 00:00:00+00:00,16,16,I90583612;IBARAS3;IBIRAL3;IJABAL13;IJABAL16;IJANZO2;IJANZO3;IJANZO4;IMISRA13;IMURQU5;IMURQU6;INALUT3;INUQAT10;INUQAT8;ITRIPO33;IZAWIY5,24.0,41.0,408.0
NW_20251124T23,network_midnight,2025-11-24 23:00:00+00:00,2025-11-24 23:00:00+00:00,2025-11-24 22:00:00+00:00,2025-11-25 00:00:00+00:00,16,16,IALWAH18;IBARAS3;IBIRAL3;IJABAL13;IJABAL14;IJABAL15;IJABAL16;IJANZO2;IJANZO3;IMISRA12;IMISRA13;INALUT3;INUQAT10;ITAHLI1;ITRIPO33;IZAWIY7,24.0,24.0,384.0
NW_20251128T22,network_midnight,2025-11-28 22:00:00+00:00,2025-11-28 23:00:00+00:00,2025-11-28 21:00:00+00:00,2025-11-29 00:00:00+00:00,16,16,IALWAH18;IBIRAL3;IJABAL13;IJABAL14;IJABAL15;IJABAL16;IJANZO2;IJANZO4;IMISRA12;INALUT3;INUQAT10;INUQAT9;ITAHLI1;ITRIPO32;ITRIPO33;IZAWIY7,24.0,62.0,422.0
NW_20251203T14,network_other,2025-12-03 14:00:00+00:00,2025-12-03 14:00:00+00:00,2025-12-03 13:00:00+00:00,2025-12-03 15:00:00+00:00,5,5,I90583612;IJANZO4;IMURQU5;INALUT3;ITAHLI1,5.0,42.0,85.0
NW_20251203T23,network_midnight,2025-12-03 23:00:00+00:00,2025-12-03 23:00:00+00:00,2025-12-03 22:00:00+00:00,2025-12-04 00:00:00+00:00,18,18,IALWAH18;IBARAS3;IBIRAL3;IJABAL13;IJABAL14;IJABAL15;IJABAL16;IMISRA12;IMISRA13;IMURQU6;INALUT3;INUQAT10;INUQAT8;INUQAT9;ITAHLI1;ITRIPO32;ITRIPO33;IZAWIY7,24.0,26.0,411.0
NW_20251207T16,network_other,2025-12-07 16:00:00+00:00,2025-12-07 17:00:00+00:00,2025-12-07 15:00:00+00:00,2025-12-07 18:00:00+00:00,5,5,IMISRA13;IMURQU6;IMURQU7;ITRIPO32;IZAWIY7,1.0,2.0,6.0
NW_20251229T07,network_other,2025-12-29 07:00:00+00:00,2025-12-29 07:00:00+00:00,2025-12-29 06:00:00+00:00,2025-12-29 08:00:00+00:00,5,5,IMISRA12;IMURQU5;IMURQU6;INALUT3;IZAWIY5,2.0,22.0,29.0
NW_20251231T16,network_other,2025-12-31 16:00:00+00:00,2025-12-31 16:00:00+00:00,2025-12-31 15:00:00+00:00,2025-12-31 17:00:00+00:00,5,5,IALWAH18;IMISRA13;IMURQU5;IMURQU6;INALUT3,1.0,3.0,9.0
NW_20260131T12,network_other,2026-01-31 12:00:00+00:00,2026-01-31 13:00:00+00:00,2026-01-31 11:00:00+00:00,2026-01-31 14:00:00+00:00,6,6,IDERNA7;IJABAL16;IJANZO3;INALUT3;ITAHLI1;IZAWIY7,4.0,69.0,86.0
NW_20260201T09,network_other,2026-02-01 09:00:00+00:00,2026-02-01 10:00:00+00:00,2026-02-01 08:00:00+00:00,2026-02-01 11:00:00+00:00,5,5,IALWAH18;IMISRA13;IMURQU7;INUQAT9;IZAWIY7,3.0,5.0,16.0
NW_20260206T16,network_other,2026-02-06 16:00:00+00:00,2026-02-06 16:00:00+00:00,2026-02-06 15:00:00+00:00,2026-02-06 17:00:00+00:00,6,6,IBARAS3;IJABAL16;IJANZO4;IMURQU5;IMURQU7;ITRIPO32,26.0,190.0,359.0
NW_20260303T23,network_midnight,2026-03-03 23:00:00+00:00,2026-03-03 23:00:00+00:00,2026-03-03 22:00:00+00:00,2026-03-04 00:00:00+00:00,6,6,IALWAH18;IBIRAL3;IJABAL14;IMISRA13;INUQAT9;IZAWIY5,24.0,24.0,122.0
NW_20260305T23,network_midnight,2026-03-05 23:00:00+00:00,2026-03-05 23:00:00+00:00,2026-03-05 22:00:00+00:00,2026-03-06 00:00:00+00:00,6,6,IBIRAL3;IJABAL14;IMISRA13;IMURQU7;INUQAT9;IZAWIY5,24.0,24.0,144.0
NW_20260307T23,network_midnight,2026-03-07 23:00:00+00:00,2026-03-07 23:00:00+00:00,2026-03-07 22:00:00+00:00,2026-03-08 00:00:00+00:00,7,7,IBIRAL3;IJABAL14;IMISRA13;IMURQU7;INALUT3;INUQAT9;IZAWIY5,39.0,40.0,274.0
NW_20260308T23,network_midnight,2026-03-08 23:00:00+00:00,2026-03-08 23:00:00+00:00,2026-03-08 22:00:00+00:00,2026-03-09 00:00:00+00:00,14,14,IALWAH18;IBARAS3;IJABAL13;IJABAL15;IJABAL16;IJANZO2;IJANZO3;IMISRA12;IMURQU5;INUQAT10;INUQAT8;ITAHLI1;ITRIPO33;IZAWIY7,15.0,16.0,211.0
NW_20260316T22,network_midnight,2026-03-16 22:00:00+00:00,2026-03-16 23:00:00+00:00,2026-03-16 21:00:00+00:00,2026-03-17 00:00:00+00:00,6,6,IALWAH18;IJABAL13;IJABAL15;IMURQU6;IMURQU7;ITAHLI1,2.0,19.0,43.0
NW_20260317T02,network_other,2026-03-17 02:00:00+00:00,2026-03-17 03:00:00+00:00,2026-03-17 01:00:00+00:00,2026-03-17 04:00:00+00:00,6,6,IBARAS3;IJABAL13;IJABAL15;IJANZO3;INUQAT8;INUQAT9,2.5,12.0,28.0
NW_20260317T17,network_other,2026-03-17 17:00:00+00:00,2026-03-17 19:00:00+00:00,2026-03-17 16:00:00+00:00,2026-03-17 20:00:00+00:00,6,7,IALWAH18;IBARAS3;IJABAL14;IMURQU6;INALUT3;ITRIPO33,1.0,2.0,8.0
NW_20260510T10,network_other,2026-05-10 10:00:00+00:00,2026-05-10 12:00:00+00:00,2026-05-10 09:00:00+00:00,2026-05-10 13:00:00+00:00,8,8,IALWAH18;IJANZO3;IMURQU5;IMURQU6;IMURQU7;INUQAT10;INUQAT8;IZAWIY5,2.5,8.0,26.0
NW_20260530T11,network_other,2026-05-30 11:00:00+00:00,2026-05-30 12:00:00+00:00,2026-05-30 10:00:00+00:00,2026-05-30 13:00:00+00:00,6,6,IBARAS3;IDERNA7;IJABAL16;IMURQU7;INALUT3;INUQAT10,2.0,9.0,18.0
NW_20260602T13,network_other,2026-06-02 13:00:00+00:00,2026-06-02 14:00:00+00:00,2026-06-02 12:00:00+00:00,2026-06-02 15:00:00+00:00,5,5,IJABAL16;IMURQU6;IMURQU7;INUQAT9;IZAWIY7,2.0,3.0,9.0
NW_20260603T12,network_other,2026-06-03 12:00:00+00:00,2026-06-03 14:00:00+00:00,2026-06-03 11:00:00+00:00,2026-06-03 15:00:00+00:00,9,9,IJABAL16;IJANZO2;IJANZO3;IMISRA13;IMURQU6;IMURQU7;INUQAT8;INUQAT9;ITAHLI1,2.0,5.0,21.0
NW_20260603T19,network_other,2026-06-03 19:00:00+00:00,2026-06-03 20:00:00+00:00,2026-06-03 18:00:00+00:00,2026-06-03 21:00:00+00:00,6,6,IDERNA7;IJANZO3;IMURQU5;INUQAT10;INUQAT9;IZAWIY5,2.0,17.0,31.0
NW_20260604T14,network_other,2026-06-04 14:00:00+00:00,2026-06-04 15:00:00+00:00,2026-06-04 13:00:00+00:00,2026-06-04 16:00:00+00:00,6,6,IJABAL16;IMURQU6;IMURQU7;INUQAT10;ITAHLI1;IZAWIY7,1.5,5.0,13.0
NW_20260605T09,network_other,2026-06-05 09:00:00+00:00,2026-06-05 09:00:00+00:00,2026-06-05 08:00:00+00:00,2026-06-05 10:00:00+00:00,5,5,IMURQU6;IMURQU7;INUQAT10;INUQAT9;IZAWIY5,3.0,3.0,13.0
NW_20260605T13,network_other,2026-06-05 13:00:00+00:00,2026-06-05 14:00:00+00:00,2026-06-05 12:00:00+00:00,2026-06-05 15:00:00+00:00,22,22,IALWAH18;IBARAS3;IBIRAL3;IJABAL13;IJABAL14;IJABAL15;IJABAL16;IJANZO2;IJANZO3;IMISRA12;IMISRA13;IMURQU5;IMURQU6;IMURQU7;INALUT3;INUQAT10;INUQAT8;INUQAT9;ITAHLI1;ITRIPO33;IZAWIY5;IZAWIY7,9.0,51.0,265.0
NW_20260606T12,network_other,2026-06-06 12:00:00+00:00,2026-06-06 13:00:00+00:00,2026-06-06 11:00:00+00:00,2026-06-06 14:00:00+00:00,5,5,IDERNA7;IJABAL16;IJANZO3;IMISRA12;INUQAT10,2.0,3.0,9.0
NW_20260607T18,network_other,2026-06-07 18:00:00+00:00,2026-06-07 19:00:00+00:00,2026-06-07 17:00:00+00:00,2026-06-07 20:00:00+00:00,5,5,IBARAS3;IJABAL15;IMISRA13;INUQAT10;IZAWIY5,1.0,3.0,8.0
NW_20260608T10,network_other,2026-06-08 10:00:00+00:00,2026-06-08 10:00:00+00:00,2026-06-08 09:00:00+00:00,2026-06-08 11:00:00+00:00,5,5,IJABAL16;IJANZO2;IMISRA13;INUQAT10;INUQAT9,4.0,14.0,24.0
NW_20260609T10,network_other,2026-06-09 10:00:00+00:00,2026-06-09 11:00:00+00:00,2026-06-09 09:00:00+00:00,2026-06-09 12:00:00+00:00,6,6,IJABAL15;IJANZO2;IJANZO3;INUQAT10;INUQAT8;INUQAT9,2.0,3.0,11.0
NW_20260610T08,network_other,2026-06-10 08:00:00+00:00,2026-06-10 10:00:00+00:00,2026-06-10 07:00:00+00:00,2026-06-10 11:00:00+00:00,7,7,IBARAS3;IDERNA7;IJABAL15;IJABAL16;INALUT3;INUQAT10;INUQAT9,4.0,15.0,40.0
NW_20260625T09,network_other,2026-06-25 09:00:00+00:00,2026-06-25 11:00:00+00:00,2026-06-25 08:00:00+00:00,2026-06-25 12:00:00+00:00,8,8,I90583612;IDERNA7;IJABAL15;IJANZO3;IMISRA12;IMISRA13;INUQAT8;IZAWIY5,2.5,37.0,53.0
NW_20260627T18,network_other,2026-06-27 18:00:00+00:00,2026-06-27 18:00:00+00:00,2026-06-27 17:00:00+00:00,2026-06-27 19:00:00+00:00,5,5,IBIRAL3;IMISRA12;IMURQU7;INUQAT10;INUQAT9,4.0,13.0,30.0
NW_20260630T14,network_other,2026-06-30 14:00:00+00:00,2026-06-30 14:00:00+00:00,2026-06-30 13:00:00+00:00,2026-06-30 15:00:00+00:00,5,5,I90583612;IBARAS3;INUQAT8;ITRIPO33;IZAWIY5,3.0,5.0,15.0
