section,metric,hard_zero_baseline,progressive_duration,difference,score_band,horizon_hours
distribution,n,165313.0,165313.0,0.0,,
distribution,min,0.0,5.908945783909264e-50,5.908945783909264e-50,,
distribution,p25,52.16143462363696,54.08152617490008,1.9200915512631198,,
distribution,median,67.75285512898846,67.12143042016244,-0.6314247088260174,,
distribution,mean,54.87800305462908,59.80860124605903,4.930598191429944,,
distribution,p75,76.11896851689947,75.91120221362694,-0.20776630327253542,,
distribution,max,97.98976883065949,97.98976883065949,0.0,,
distribution,exact_zero_rows,37654.0,0.0,-37654.0,,
distribution,exact_zero_fraction,0.22777398026773454,0.0,-0.22777398026773454,,
histogram,count,37654.0,15377.0,-22277.0,0-10,
histogram,fraction,0.22777398026773454,0.09301748803784336,-0.13475649222989117,0-10,
histogram,count,0.0,3300.0,3300.0,10-20,
histogram,fraction,0.0,0.01996213243967504,0.01996213243967504,10-20,
histogram,count,2.0,3618.0,3616.0,20-30,
histogram,fraction,1.209826208465154e-05,0.021885756111134635,0.021873657849049984,20-30,
histogram,count,181.0,4712.0,4531.0,30-40,
histogram,fraction,0.0010948927186609644,0.02850350547143903,0.027408612752778064,30-40,
histogram,count,2050.0,7831.0,5781.0,40-50,
histogram,fraction,0.012400718636767828,0.0473707451924531,0.03497002655568528,40-50,
histogram,count,15045.0,21039.0,5994.0,50-60,
histogram,fraction,0.0910091765317912,0.12726766799949188,0.036258491467700674,50-60,
histogram,count,37995.0,39598.0,1603.0,60-70,
histogram,fraction,0.22983673395316762,0.23953349101401583,0.009696757060848216,60-70,
histogram,count,48539.0,46411.0,-2128.0,70-80,
histogram,fraction,0.2936187716634506,0.2807462208053813,-0.012872550858069265,70-80,
histogram,count,22900.0,22480.0,-420.0,80-90,
histogram,fraction,0.13852510086926012,0.1359844658314833,-0.0025406350377768228,80-90,
histogram,count,947.0,947.0,0.0,90-100,
histogram,fraction,0.005728527097082504,0.005728527097082504,0.0,90-100,
absolute_health_change,n,165157.0,165157.0,0.0,,6.0
absolute_health_change,min,0.0,0.0,0.0,,6.0
absolute_health_change,p25,0.4209147856094262,1.1626516014317332,0.741736815822307,,6.0
absolute_health_change,median,2.068029269603585,3.0458333333334195,0.9778040637298346,,6.0
absolute_health_change,mean,8.734890695922735,5.137359977276459,-3.5975307186462757,,6.0
absolute_health_change,p75,4.989180636665608,6.229628165520438,1.2404475288548298,,6.0
absolute_health_change,max,91.35637659187765,77.31219556060985,-14.044181031267797,,6.0
absolute_health_change,p90,15.345975179003858,11.46239098699937,-3.883584192004488,,6.0
absolute_health_change,p99,79.31515936770273,46.08650688921659,-33.22865247848615,,6.0
absolute_health_change,fraction_gt_1,0.6567024104337086,0.7751896680128605,0.1184872575791519,,6.0
absolute_health_change,fraction_gt_5,0.2495201535508637,0.3236738376211726,0.07415368407030887,,6.0
absolute_health_change,fraction_gt_10,0.12534134187470103,0.1290166326586218,0.0036752907839207594,,6.0
absolute_health_change,n,165001.0,165001.0,0.0,,12.0
absolute_health_change,min,0.0,0.0,0.0,,12.0
absolute_health_change,p25,0.8099399662378914,1.7787377036246568,0.9687977373867653,,12.0
absolute_health_change,median,3.3619298968914393,4.596366382456154,1.2344364855647143,,12.0
absolute_health_change,mean,12.185858302811265,7.657564433454769,-4.528293869356497,,12.0
absolute_health_change,p75,7.803461603986946,9.434931816558759,1.6314702125718128,,12.0
absolute_health_change,max,91.88187575544504,77.18682353988098,-14.695052215564061,,12.0
absolute_health_change,p90,62.163690476190474,18.270977871632176,-43.8927126045583,,12.0
absolute_health_change,p99,81.0860472021781,53.17068323215784,-27.915363970020252,,12.0
absolute_health_change,fraction_gt_1,0.7297289107338744,0.8295040636117357,0.09977515287786132,,12.0
absolute_health_change,fraction_gt_5,0.37979163762643864,0.4702274531669505,0.09043581554051189,,12.0
absolute_health_change,fraction_gt_10,0.19856849352428166,0.23228344070641996,0.0337149471821383,,12.0
absolute_health_change,n,164689.0,164689.0,0.0,,24.0
absolute_health_change,min,0.0,0.0,0.0,,24.0
absolute_health_change,p25,1.3329189689384435,2.1521116118006987,0.8191926428622551,,24.0
absolute_health_change,median,4.916956469229035,5.671219533961121,0.7542630647320863,,24.0
absolute_health_change,mean,15.723479231344898,9.68227653670708,-6.041202694637818,,24.0
absolute_health_change,p75,11.737368911828398,11.831150433182799,0.09378152135440132,,24.0
absolute_health_change,max,92.29553795161112,81.9298410797026,-10.365696871908526,,24.0
absolute_health_change,p90,66.75997266284809,25.571248878458295,-41.18872378438979,,24.0
absolute_health_change,p99,82.08613657236083,55.42153204740166,-26.664604524959167,,24.0
absolute_health_change,fraction_gt_1,0.7762084899416476,0.8502207190522743,0.07401222911062666,,24.0
absolute_health_change,fraction_gt_5,0.4951514673111137,0.5411836856134896,0.046032218302375916,,24.0
absolute_health_change,fraction_gt_10,0.2894000206449733,0.302005598430982,0.012605577786008737,,24.0
health_band_crossings,eligible_station_hours,165157.0,165157.0,0.0,,6.0
health_band_crossings,band_crossings,35667.0,36637.0,970.0,,6.0
health_band_crossings,crossing_fraction,0.21595814891285262,0.22183134835338497,0.005873199440532356,,6.0
health_band_crossings,eligible_station_hours,165001.0,165001.0,0.0,,12.0
health_band_crossings,band_crossings,48442.0,51179.0,2737.0,,12.0
health_band_crossings,crossing_fraction,0.293586099478185,0.31017387773407434,0.016587778255889363,,12.0
health_band_crossings,eligible_station_hours,164689.0,164689.0,0.0,,24.0
health_band_crossings,band_crossings,60510.0,59116.0,-1394.0,,24.0
health_band_crossings,crossing_fraction,0.36741980338699004,0.3589553643534176,-0.008464439033572413,,24.0
