duration_hours,full_outage_multiplier,partial_outage_multiplier
1,0.9591894571091382,0.9862071167439163
6,0.7788007830714049,0.9200444146293233
24,0.36787944117144233,0.7165313105737893
168,0.0009118819655545162,0.09697196786440505
