station_id,city,region,latitude,longitude,elevation_m,install_date,dataset_end_utc,status_class,uptime_pct,total_active_hours,total_present_hours,total_outage_hours,total_event_count,full_outage_event_count,full_outage_hours,local_event_count,network_midnight_event_count,network_other_event_count,partial_outage_event_count,partial_outage_hours,transmitting_hours,structural_gap_full_outage_hours,excluded_rows,median_event_duration_h,max_event_duration_h,last_outage_start_utc,days_since_last_outage_at_data_end,anemometer_availability_pct,barometer_availability_pct,light_uv_availability_pct,rain_gauge_availability_pct,thermo_hygrometer_availability_pct,wind_vane_availability_pct
INUQAT10,Al-Ajaylat,northwest,32.771523,12.320158,2,2025-10-12,2026-06-30 23:00:00+00:00,usable,87.1811224489796,6272,5468,802,82,82,802,59,11,12,15,235,5468,0,2,3.0,184.0,2026-06-30 09:00:00+00:00,0.3333333333333333,95.75713240673007,100.0,95.70226773957572,99.21360643745427,95.75713240673007,95.75713240673007
INUQAT9,Sabratha,northwest,32.736552,12.452316,3,2025-10-10,2026-06-30 23:00:00+00:00,usable,85.79778830963664,6330,5431,897,101,101,897,77,13,11,55,558,5431,0,2,3.0,49.0,2026-06-30 01:00:00+00:00,0.7916666666666666,89.72564905174,100.0,89.72564905174,100.0,89.72564905174,89.72564905174
IMURQU7,Msallata,northwest,32.464557,14.077052,56,2025-10-07,2026-06-30 23:00:00+00:00,usable,85.69192235441453,6388,5474,910,72,72,910,51,10,11,2,2,5474,0,4,4.0,72.0,2026-06-29 10:00:00+00:00,1.4583333333333333,99.9634636463281,100.0,99.9634636463281,99.98173182316405,99.9634636463281,99.9634636463281
IJABAL16,Al-Asabaa,northwest,32.081197,12.888562,815,2025-10-06,2026-06-30 23:00:00+00:00,usable,85.07253158633598,6411,5454,955,85,85,955,64,11,10,17,199,5454,0,2,5.0,85.0,2026-06-29 10:00:00+00:00,1.5416666666666667,96.35130179684636,100.0,96.35130179684636,99.55995599559957,96.35130179684636,96.35130179684636
INALUT3,Tiji,northwest,32.00446,11.381656,64,2025-10-08,2026-06-30 23:00:00+00:00,weak,71.37692549512732,6362,4541,1819,275,275,1819,254,13,8,87,652,4541,0,2,2.0,167.0,2026-06-29 19:00:00+00:00,1.1666666666666667,85.6419290905087,100.0,85.6419290905087,93.45959039859062,85.6419290905087,85.6419290905087
IMURQU5,Tarhuna,northwest,32.294368,13.623417,487,2025-10-05,2026-06-30 23:00:00+00:00,outage_dominated,66.58903896910418,6441,4289,2150,83,83,2150,67,9,7,39,338,4289,0,2,6.0,771.0,2026-06-30 17:00:00+00:00,0.25,92.11937514572162,100.0,92.11937514572162,97.22546048029844,92.11937514572162,92.11937514572162
IMURQU6,Khoms,northwest,32.65723,14.242337,12,2025-10-06,2026-06-30 23:00:00+00:00,outage_dominated,62.79108175061932,6055,3802,2251,151,151,2251,131,10,10,37,416,3802,378,2,4.0,648.0,2026-06-28 02:00:00+00:00,2.7083333333333335,89.05839032088375,100.0,89.05839032088375,99.65807469752761,89.05839032088375,89.05839032088375
ITRIPO32,Tajura,northwest,32.881396,13.387467,8,2025-10-09,2026-06-30 23:00:00+00:00,outage_dominated,36.31499749205818,5981,2172,3527,72,72,3527,63,7,2,0,0,2172,362,282,13.0,594.0,2026-05-24 14:00:00+00:00,12.666666666666666,100.0,100.0,100.0,100.0,100.0,100.0
I90583612,Al-Uwaynah,northwest,31.976779,12.482434,202,2025-10-07,2026-06-30 23:00:00+00:00,outage_dominated,19.492385786802032,5910,1152,4754,141,141,4754,136,2,3,1,1,1152,480,4,12.0,620.0,2026-06-30 13:00:00+00:00,0.25,99.91319444444444,100.0,99.91319444444444,99.91319444444444,99.91319444444444,99.91319444444444
IJANZO4,Qasr Bin Ghashir,northwest,32.690144,13.201313,21,2025-10-09,2026-06-30 23:00:00+00:00,outage_dominated,16.21426855632957,4163,675,2863,145,145,2863,135,8,2,4,4,675,0,625,8.0,215.0,2026-03-05 12:00:00+00:00,117.45833333333333,99.4074074074074,100.0,99.4074074074074,99.4074074074074,99.4074074074074,99.4074074074074
IALWAH18,Awjila,southeast,29.124472,21.285446,16,2025-08-25,2026-06-30 23:00:00+00:00,reliable_reference_candidate,90.10514963602049,7418,6684,732,106,106,732,89,12,5,15,1220,6684,0,2,2.0,142.0,2026-06-25 07:00:00+00:00,5.083333333333333,98.56373429084381,98.72830640335128,81.7474566128067,98.60861759425494,98.56373429084381,98.56373429084381
IDERNA7,Derna,southeast,32.766357,22.641455,3,2025-06-15,2026-06-30 23:00:00+00:00,outage_dominated,53.5469364811692,8895,4763,4130,269,269,4130,259,4,6,38,612,4763,234,2,4.0,814.0,2026-06-27 05:00:00+00:00,3.5,87.15095528028553,100.0,87.15095528028553,88.76758345580517,87.15095528028553,87.15095528028553
