station_a,station_b,distance_km,n_both_active_hours,n_offline_a,n_offline_b,n_both_offline,p_offline_a,p_offline_b,expected_both_offline_if_independent,cooccurrence_ratio
I90583612,IALWAH18,900.2902537346487,3687,3082,369,320,0.8359099538920531,0.1000813669650122,308.45077298616764,1.0374426911043932
I90583612,IBARAS3,53.78065168185605,3687,3082,502,439,0.8359099538920531,0.13615405478708978,419.6267968538107,1.0461676978006211
I90583612,IBIRAL3,39.02145338291991,3687,3082,466,432,0.8359099538920531,0.12639001898562516,389.5340385136967,1.1090173317031191
I90583612,IDERNA7,957.7367848173247,3687,3082,1669,1466,0.8359099538920531,0.4526715486845674,1395.1337130458367,1.0507953368852718
I90583612,IJABAL13,15.353775091257571,3687,3082,399,366,0.8359099538920531,0.10821806346623271,333.52807160292923,1.0973589066761646
I90583612,IJABAL14,21.342393464827285,3687,3082,332,287,0.8359099538920531,0.09004610794684025,277.52210469216163,1.0341518572668351
I90583612,IJABAL15,74.36490147350491,3687,3082,407,349,0.8359099538920531,0.11038784919989152,340.2153512340657,1.025820847689764
I90583612,IJABAL16,40.00705072309914,3687,3082,664,600,0.8359099538920531,0.1800922158936805,555.0442093843233,1.0809949727527892
I90583612,IJANZO2,105.27287048307909,3645,3041,381,345,0.8342935528120713,0.10452674897119342,317.86584362139916,1.0853635485633353
I90583612,IJANZO3,96.4344086420241,3662,3058,439,367,0.8350628072091754,0.1198798470780994,366.592572364828,1.00111139086246
I90583612,IJANZO4,104.1815522122107,3419,2825,2786,2292,0.8262649897630886,0.8148581456566247,2301.9742614799648,0.9956670838389166
I90583612,IMISRA12,246.05239451877947,3473,2959,437,397,0.8520011517420097,0.12582781456953643,372.3245033112583,1.0662741680155101
I90583612,IMISRA13,201.1984926860181,3687,3082,478,416,0.8359099538920531,0.12964469758611338,399.56495796040144,1.0411323408426305
I90583612,IMURQU5,113.08819825552143,3462,2867,965,872,0.8281340265742345,0.27874061236279607,799.1493356441364,1.0911602639288238
I90583612,IMURQU6,181.86292984697232,3462,2867,1445,1217,0.8281340265742345,0.4173887926054304,1196.653668399769,1.0170026901997795
I90583612,IMURQU7,159.50954126564628,3685,3081,476,417,0.8360922659430122,0.12917232021709635,397.97991858887383,1.047791560635939
I90583612,INALUT3,103.85766294878017,3659,3055,1398,1134,0.8349275758403936,0.38207160426346,1167.2287510248702,0.9715319289422111
I90583612,INUQAT10,89.6758635933239,3569,3016,651,583,0.8450546371532642,0.18240403474362565,550.1305687867749,1.0597484180632124
I90583612,INUQAT8,113.24206760213013,3647,3043,270,230,0.8343844255552509,0.07403345215245408,225.28379489991778,1.0209345066394029
I90583612,INUQAT9,84.53025371469423,3627,3023,562,503,0.833471188309898,0.15494899365867107,468.41080783016264,1.0738437106736844
