station_a,station_b,distance_km,n_both_active_hours,n_offline_a,n_offline_b,n_both_offline,p_offline_a,p_offline_b,expected_both_offline_if_independent,cooccurrence_ratio
I90583612,IALWAH18,900.2902537346487,3629,3030,357,310,0.8349407550289336,0.09837420777073574,298.0738495453293,1.0400107237614518
I90583612,IBARAS3,53.78065168185605,3629,3030,485,422,0.8349407550289336,0.13364563240562138,404.9462661890328,1.0421135721819603
I90583612,IBIRAL3,39.02145338291991,3629,3030,448,416,0.8349407550289336,0.12344998622209975,374.0534582529623,1.112140499764262
I90583612,IDERNA7,957.7367848173247,3629,3030,1638,1441,0.8349407550289336,0.45136401212455224,1367.6329567373934,1.0536452729522034
I90583612,IJABAL13,15.353775091257571,3629,3030,385,354,0.8349407550289336,0.10608983190961697,321.45219068613943,1.1012524109553812
I90583612,IJABAL14,21.342393464827285,3629,3030,324,281,0.8349407550289336,0.08928079360705428,270.5208046293745,1.038737114452186
I90583612,IJABAL15,74.36490147350491,3629,3030,393,337,0.8349407550289336,0.10829429594929733,328.13171672637094,1.0270265957893498
I90583612,IJABAL16,40.00705072309914,3629,3030,642,581,0.8349407550289336,0.1769082391843483,536.0319647285754,1.083890585320214
I90583612,IJANZO2,105.27287048307909,3589,2991,367,333,0.8333797715241015,0.10225689607132907,305.85037614934527,1.088767665394002
I90583612,IJANZO3,96.4344086420241,3606,3008,422,351,0.834165280088741,0.11702717692734331,352.0177481974487,0.9971088156700614
I90583612,IJANZO4,104.1815522122107,3363,2775,2746,2257,0.8251561106155219,0.8165328575676479,2265.878679750223,0.996081573197378
I90583612,IMISRA12,246.05239451877947,3421,2912,428,390,0.8512130955860859,0.12510961707103185,364.31920491084475,1.0704898197596797
I90583612,IMISRA13,201.1984926860181,3629,3030,461,401,0.8349407550289336,0.12703224028658033,384.9076880683384,1.0418082372228545
I90583612,IMURQU5,113.08819825552143,3404,2815,943,851,0.8269682726204466,0.27702702702702703,779.8310810810812,1.0912619676818436
I90583612,IMURQU6,181.86292984697232,3404,2815,1422,1195,0.8269682726204466,0.41774383078730903,1175.948883666275,1.016200633036301
I90583612,IMURQU7,159.50954126564628,3627,3029,461,403,0.8351254480286738,0.12710228839261098,384.99283154121866,1.0467727370057627
I90583612,INALUT3,103.85766294878017,3603,3005,1379,1117,0.8340271995559256,0.382736608381904,1150.1235081876214,0.9712000424721187
I90583612,INUQAT10,89.6758635933239,3513,2966,630,564,0.8442926273840022,0.17933390264731,531.9043552519214,1.060341007610057
I90583612,INUQAT8,113.24206760213013,3591,2993,261,222,0.8334725703146756,0.07268170426065163,217.5363408521303,1.0205191423666717
I90583612,INUQAT9,84.53025371469423,3571,2973,545,488,0.8325399047885746,0.15261831419770372,453.73424810977315,1.0755194302236952
I90583612,ITAHLI1,78.40578975527269,3618,3020,440,362,0.8347153123272526,0.12161415146489774,367.27473742399116,0.9856381697772426
I90583612,ITRIPO32,131.65415023516158,3526,2930,1832,1616,0.8309699376063528,0.5195689166193987,1522.3369256948383,1.0615258506341565
I90583612,ITRIPO33,119.00093717049711,3497,2933,544,487,0.8387189019159279,0.15556191020875035,456.26308264226475,1.0673666542989513
I90583612,IZAWIY5,86.74993627308899,3629,3030,457,394,0.8349407550289336,0.12593000826674014,381.5679250482226,1.0325815513717675
I90583612,IZAWIY7,91.66800741962604,3629,3030,452,392,0.8349407550289336,0.12455221824193993,377.39322127307804,1.0387044014135924
IALWAH18,IBARAS3,858.9195973430495,4152,387,541,209,0.09320809248554913,0.13029865125240847,50.425578034682076,4.144721947584864
IALWAH18,IBIRAL3,904.9031759757489,4174,387,560,235,0.09271681839961668,0.13416387158600862,51.92141830378534,4.526070505721669
IALWAH18,IDERNA7,425.09213981708933,4930,432,2265,317,0.08762677484787018,0.4594320486815416,198.47464503042596,1.5971813424903933
IALWAH18,IJABAL13,898.6519694517569,4163,384,414,228,0.09224117223156378,0.09944751381215469,38.187845303867405,5.970486111111111
IALWAH18,IJABAL14,918.0248557673087,4180,387,412,205,0.09258373205741627,0.09856459330143541,38.1444976076555,5.374300694914829
IALWAH18,IJABAL15,838.0688514573457,4180,387,413,257,0.09258373205741627,0.09880382775119617,38.23708133971292,6.721224293159649
IALWAH18,IJABAL16,867.951915929484,4151,387,701,208,0.09323054685617924,0.16887496988677428,65.35461334618165,3.1826368384773316
IALWAH18,IJANZO2,890.7086415653675,4090,387,393,174,0.09462102689486553,0.0960880195599022,37.18606356968215,4.679172337613666
IALWAH18,IJANZO3,900.4352776529939,4107,387,444,182,0.09422936449963477,0.10810810810810811,41.837837837837846,4.350129198966408
IALWAH18,IJANZO4,866.8306274613647,3479,330,2821,312,0.09485484334578902,0.8108651911468813,267.5855130784708,1.1659824046920821
