window_id,window_start_utc,station_count,outage_class,n_stations_resolved,max_pairwise_km,min_pairwise_km,median_pairwise_km,lat_min,lat_max,lon_min,lon_max,lat_range,lon_range,status,start_hour,is_midnight
NW_20251007T23,2025-10-07 23:00:00+00:00,8,unknown,8,192.27243790098822,20.246468452519867,104.43152711023825,31.461729,32.756648,12.551183,14.574401,1.2949190000000002,2.023218,ok,23,True
NW_20251012T23,2025-10-12 23:00:00+00:00,20,unknown,20,1000.3731273093186,12.956083583930782,110.69403133888054,29.124472,32.897844,11.381656,21.285446,3.7733719999999984,9.90379,ok,23,True
NW_20251015T23,2025-10-15 23:00:00+00:00,5,unknown,5,93.47859065065364,13.207627050342301,60.57500474685571,32.081197,32.820177,12.320158,12.991854,0.738979999999998,0.6716960000000007,ok,23,True
NW_20251016T22,2025-10-16 22:00:00+00:00,17,unknown,17,1060.180633480487,26.437481973348483,151.10897853070708,29.124472,32.897844,11.381656,22.641455,3.7733719999999984,11.259799000000001,ok,22,True
NW_20251021T23,2025-10-21 23:00:00+00:00,18,unknown,18,1000.3731273093186,12.292673390920617,117.60935403282079,29.124472,32.897844,11.381656,21.285446,3.7733719999999984,9.90379,ok,23,True
NW_20251026T22,2025-10-26 22:00:00+00:00,11,unknown,11,228.41504339960204,13.207627050342301,100.53365814284791,31.461729,32.881396,12.857167,15.091041,1.419667000000004,2.233874,ok,22,True
NW_20251028T23,2025-10-28 23:00:00+00:00,12,unknown,12,1060.180633480487,12.292673390920617,89.69556320615374,31.461729,32.820177,11.381656,22.641455,1.3584480000000028,11.259799000000001,ok,23,True
NW_20251105T23,2025-11-05 23:00:00+00:00,12,unknown,12,349.8382384197245,14.02985302043116,110.44145855850151,31.461729,32.881396,11.381656,15.091041,1.419667000000004,3.709385000000001,ok,23,True
NW_20251110T22,2025-11-10 22:00:00+00:00,9,unknown,9,203.54792092859148,24.230248363972667,93.48459154368149,31.461729,32.756648,12.452316,14.574401,1.2949190000000002,2.122085,ok,22,True
NW_20251111T23,2025-11-11 23:00:00+00:00,8,unknown,8,1060.180633480487,21.22273504288223,312.4215223348143,29.124472,32.881396,11.381656,22.641455,3.7569240000000015,11.259799000000001,ok,23,True
